Topic,Count,t1,t2,t3,t4,booksInTopic,msCount,0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1,0845Maqrizi.ImtacAsmac.Shamela0001524-ara1,0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.completed,0845Maqrizi.Mawaciz.MAB02082022-ara1.completed,0845Maqrizi.Suluk.Shamela0006667-ara1.mARkdown,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1
536,10,حدثنا,واحب,الزهري,الاوزاعي,1,9,,9.0,,,,
21,246,حديث,امتي,الساعة,تقوم,3,111,3.0,107.0,,1.0,,
258,25,حديث,فلفظته,هيه,وخرجه,1,22,,22.0,,,,
386,15,حديثا,الشافعي,قولي,تظلني,1,3,3.0,,,,,
470,12,حربة,النجاشي,توافقا,صرعي,1,12,,12.0,,,,
516,10,حرمي,موسي,حرملة,الدقيقي,2,4,2.0,2.0,,,,
354,17,حريرة,صورة,اتعرفون,بابا,1,4,,4.0,,,,
372,16,حصل,فاستحييت,فاقول,النذر,2,9,8.0,,,1.0,,
51,124,حلب,التركمان,ناءب,عشرينه,3,95,4.0,,4.0,,87.0,
423,14,حميضة,رميثة,عنوة,مكة,4,11,4.0,,2.0,2.0,3.0,
211,30,حنبل,صالح,سمعت,افت,2,18,17.0,1.0,,,,
129,55,خاتما,فضة,الخاتم,فصه,1,15,,15.0,,,,
183,37,خالد,حميد,المعافري,الصدفي,2,12,8.0,4.0,,,,
140,51,خالد,وعنه,وعبد,المعافري,2,30,27.0,3.0,,,,
268,24,خان,ارسلان,جنكزخان,دوشي,3,18,,,1.0,1.0,16.0,
397,15,خجلنا,الوزير,لاتصدق,المالل,3,11,5.0,,,2.0,4.0,
316,20,خطة,راشدة,لخم,الخطة,1,9,,,,9.0,,
485,12,خطه,ابوه,المحضر,محضر,2,5,3.0,,2.0,,,
435,13,خيول,مهنا,احضرها,العرب,2,8,,,,4.0,4.0,
254,25,داء,حديث,بدواء,يكتحل,1,17,,17.0,,,,
395,15,داره,مجلسا,الفقه,مصنفاته,1,4,,,,4.0,,
347,18,دراهم,كل,درهم,استجدت,3,11,2.0,,,6.0,3.0,
166,42,درجة,الاقليم,الاطول,ساعة,1,16,,,,16.0,,
218,29,درهم,دينار,الف,انفق,2,24,,,,4.0,20.0,
127,57,درهما,بدرهم,الاردب,دراهم,4,43,,,5.0,1.0,36.0,1.0
165,42,درهما,دراهم,بدرهم,فلوسا,4,22,,,1.0,1.0,15.0,5.0
528,10,درهما,والرطل,بدرهم,القمح,1,10,,,,,10.0,
522,10,دعت,بجواز,فامتنع,الرعية,2,9,4.0,,,,5.0,
499,11,دكاكين,الحريق,الحواصل,والربع,2,7,,,,3.0,4.0,
531,10,دنا,فتدلي,وتدلي,قاب,1,5,,5.0,,,,
90,76,دير,الدير,الرهبان,كنيسة,1,18,,,,18.0,,
351,17,دينارا,رسوم,دينار,ماءتان,1,3,,,,3.0,,
367,16,دينارا,ولكل,كاغدة,دنانير,3,5,1.0,,2.0,2.0,,
69,96,دينارين,الذمة,الجزية,الخطاب,5,34,1.0,1.0,1.0,30.0,,1.0
153,45,ذراع,الهرم,اذرع,ذراعا,1,20,,,,20.0,,
73,88,ذراعا,اصبعا,اصابع,بزيادة,3,59,,,,6.0,50.0,3.0
393,15,ذراعا,النيل,مسري,الوفاء,2,13,,,1.0,,12.0,
412,14,ذنوبين,عبقريا,فنزع,غربا,1,5,,5.0,,,,
152,46,ذهب,وحمل,وقلد,بسرج,4,34,7.0,,17.0,4.0,6.0,
216,29,رءية,الاسراء,مناما,المنام,2,17,2.0,15.0,,,,
308,21,راني,الفال,طيرة,المنام,1,8,,8.0,,,,
503,11,رايت,اني,بينا,المنام,1,3,,3.0,,,,
269,24,رداء,وشبر,حصير,الرداء,1,12,,12.0,,,,
535,10,رسغاي,ثقبة,الريشة,واستقر,1,10,,,,,10.0,
88,77,رسول,فقال,وسلم,صلي,2,62,1.0,61.0,,,,
147,48,رسول,وسلم,صلي,تنكبه,1,37,,37.0,,,,
11,524,رسول,وسلم,صلي,فقال,3,225,2.0,221.0,,2.0,,
506,10,رشدين,الطبري,شرسان,سماع,1,10,10.0,,,,,
357,17,رق,تت,اا,يث,2,3,2.0,,,,,1.0
36,150,رقم,ارقام,رقما,ابن,1,21,21.0,,,,,
324,20,ركعات,اخرهن,يسلم,يجلس,1,5,,5.0,,,,
17,317,روي,ومحمد,وابو,توفي,2,189,187.0,2.0,,,,
144,49,زاءد,وكان,شجاعا,يحب,4,37,19.0,,4.0,8.0,6.0,
463,12,زرعة,خلعت,وابلس,فخرس,3,10,8.0,,1.0,1.0,,
105,68,زلزلت,زلزلة,الارض,شظا,5,36,1.0,7.0,3.0,5.0,20.0,
433,13,ساحر,فنقول,راينا,بساحر,3,7,1.0,5.0,,1.0,,
222,28,سام,نوح,فالغ,عابر,3,16,7.0,2.0,,7.0,,
259,25,سبحانه,السيادة,فبهداهم,الميثاق,3,16,1.0,14.0,,1.0,,
42,137,سبه,او,القتل,يستتاب,2,33,,31.0,,2.0,,
375,16,سعيد,راشد,جبيرة,جمهان,1,2,,2.0,,,,
394,15,سقيتك,فقطعتا,فياخذها,معدتك,4,10,3.0,,1.0,2.0,5.0,
523,10,سلمه,يخافان,يتواني,فوالله,3,6,2.0,,2.0,2.0,,
66,99,سهيل,فقال,والله,رسول,2,73,1.0,72.0,,,,
24,228,سورة,الذين,امنوا,قل,4,38,1.0,31.0,,4.0,,2.0
131,55,سورة,وكيع,حدثنا,القران,1,24,,24.0,,,,
190,35,سية,قميءة,وقاص,القوس,1,18,,18.0,,,,
164,43,شادي,والملك,العادل,الملك,3,32,6.0,,,2.0,24.0,
289,22,شاه,ملكشاه,ارسلان,الب,2,12,,,,1.0,11.0,
450,13,شنوءة,فكبرا,مربوع,ورايت,1,7,,7.0,,,,
188,36,شيركوه,شاور,الفرنج,مري,4,23,4.0,,10.0,7.0,2.0,
274,24,صاع,منخلا,ابتعثه,قبضه,1,9,,9.0,,,,
244,27,صلاة,الحرام,مسجدي,افضل,2,14,,13.0,,1.0,,
378,16,صلاها,صلاة,خلفه,بالناس,1,6,,6.0,,,,
195,34,صلوات,المءمنين,وسيدنا,الطاهرين,3,19,5.0,,11.0,3.0,,
320,20,صلوات,وسيدنا,مولانا,المظفرة,3,8,3.0,,4.0,1.0,,
276,24,صوحان,ومعقل,سبعماءة,وجندب,3,13,6.0,3.0,,4.0,,
431,13,ضرغام,شاور,وطارد,الريحانية,3,6,,,3.0,2.0,1.0,
49,125,ضعيف,معين,حديثه,وقال,2,62,19.0,44.0,,,,
124,58,ضمانه,والمستخدمين,فليعتمد,وارث,3,14,2.0,,4.0,8.0,,
390,15,طايربغا,طرابلس,عشريه,ليستدعيه,4,14,4.0,,1.0,2.0,7.0,
159,44,طبعة,تحقيق,بيروت,طيعة,2,10,,3.0,,,,7.0
80,84,طولون,الموفق,المعتمد,المدبر,4,42,21.0,,9.0,11.0,2.0,
10,526,طويل,كامل,بسيط,وافر,2,62,59.0,3.0,,,,
453,13,ظهورنا,رايتمونا,احموا,مكانكم,1,6,,6.0,,,,
208,31,عاءشة,قالت,الرفيق,عنها,1,22,,22.0,,,,
121,59,عاءشة,قالت,يتمني,ويابي,2,41,3.0,38.0,,,,
479,12,عارضني,اقرا,فسالتها,اسر,2,9,1.0,8.0,,,,
466,12,عاشوراء,الشيعة,الاسواق,لعظمت,3,5,1.0,,1.0,3.0,,
282,23,عاما,النسء,حرم,ويحرمونه,2,7,,3.0,,4.0,,
344,18,عبلة,زمنين,وثلاثماءة,البلنسي,1,15,15.0,,,,,
325,20,عذت,خدعت,قومها,جويرية,1,13,,13.0,,,,
550,10,عرافة,دينار,القافلة,عريف,4,8,1.0,,1.0,5.0,1.0,
426,14,عريان,مشرك,النحر,يطوف,1,7,,7.0,,,,
340,18,عشره,لحراسة,بهزيمته,تمان,2,17,,,2.0,,15.0,
509,10,عشرينه,السيرحي,بءونة,النيل,1,9,,,,,9.0,
526,10,علكان,المسيري,مينا,ودرس,3,10,5.0,,1.0,,4.0,
424,14,عمر,الدرفس,عثمان,خليف,1,2,,2.0,,,,
15,355,عمرو,الحارث,قيس,يزيد,2,41,2.0,39.0,,,,
267,24,عمرو,عمر,يعتدل,العاصي,2,10,1.0,,,9.0,,
307,21,عوضا,البلقيني,القضاة,قضاء,2,19,1.0,,,,18.0,
441,13,عوضا,نيابة,واستقر,تنبك,1,13,,,,,13.0,
322,20,عيد,شباط,الربانيين,الصوم,1,7,,,,7.0,,
361,17,عيسي,الفاسي,عميرة,محمد,1,5,5.0,,,,,
362,17,غازان,وعادوا,سواكن,السوقة,3,17,2.0,,,2.0,13.0,
7,742,غزوة,المدينة,المسلمين,رسول,3,293,1.0,290.0,,2.0,,
224,28,فاحمه,فوضعه,سواءم,وابلهم,1,23,,23.0,,,,
427,14,فتعديتم,فابتداءكم,فاساتم,ملوم,3,10,2.0,,3.0,5.0,,
365,17,فثقوا,ودركا,وخلفا,هالك,1,5,,5.0,,,,
384,15,فجعلني,خيرهم,جعلهم,بيتا,1,5,,5.0,,,,
226,28,فخر,القيامة,انا,تنشق,1,8,,8.0,,,,
500,11,فداء,زينب,العاص,خوات,1,9,,9.0,,,,
339,18,فرجعت,امتك,ربك,التخفيف,1,6,,6.0,,,,
68,96,فرعون,اسراءيل,موسي,سارة,5,48,7.0,4.0,,35.0,1.0,1.0
400,15,فشك,مالكا,ضجة,الصبر,3,10,1.0,7.0,,2.0,,
515,10,فصل,اعلم,حروبه,تنزلهم,1,8,,8.0,,,,
474,12,فصلي,صلاة,الظهر,باصحابه,1,7,,7.0,,,,
368,16,فصلي,صليت,عروة,فامني,1,6,,6.0,,,,
544,10,فضن,تكنوا,بمجلسه,بكنيتي,2,9,1.0,8.0,,,,
514,10,فقصصتها,اعلاه,بالحلقة,العروة,2,6,1.0,5.0,,,,
227,28,فقلت,الخشب,فقالوا,لي,3,12,8.0,1.0,,3.0,,
184,36,فكتب,والسلام,لك,خنزيرا,3,22,18.0,1.0,,3.0,,
128,56,فلك,البروج,دقيقة,الفلك,1,11,,,,11.0,,
411,14,فندش,البرديني,لزيارة,النيابة,3,13,5.0,,,5.0,3.0,
488,11,فهكذا,جماعتنا,كتامة,بارك,3,5,2.0,,2.0,1.0,,
157,44,فياتون,فيقول,هناكم,اءتوا,1,11,,11.0,,,,
464,12,فياض,يترصدونه,غراب,فكمن,3,10,1.0,,,1.0,8.0,
478,12,فيق,الصالح,هولاكو,الناصر,2,11,1.0,,,,10.0,
162,43,فيك,ذيال,حديث,الوارم,1,31,,31.0,,,,
402,14,قباء,اذرع,مسجد,وطول,3,8,1.0,4.0,,3.0,,
417,14,قرا,واخبر,عياش,مجاهد,2,7,2.0,5.0,,,,
137,52,قريظة,قريش,محمدا,نقاتل,1,30,,30.0,,,,
460,12,قطعة,يساوي,النهاوندي,زمرذ,3,9,1.0,,4.0,4.0,,
8,623,قلاوون,الخدم,وسبعماءة,الناصر,5,319,168.0,,3.0,79.0,75.0,1.0
55,113,قماش,ضريبة,قرمطية,ثوب,2,10,9.0,1.0,,,,
158,44,قيس,ابايعك,خرشة,تفتري,2,32,4.0,28.0,,,,
242,27,قيل,مرحبا,فاستفتح,السماء,1,11,,11.0,,,,
338,19,كابر,عصاني,اطيعوا,واولي,3,10,6.0,,2.0,,2.0,
44,127,كثير,حرف,نهر,جهني,3,11,7.0,2.0,,,,2.0
206,31,كذا,وكذا,رايتها,ستمر,1,25,,25.0,,,,
231,27,كسري,شريح,الحجر,اغلق,1,19,,19.0,,,,
418,14,كفالته,ميلان,عشرينه,عشره,1,12,,,,,12.0,
452,13,كفروا,يستفتحون,يقولون,مسومين,1,9,,9.0,,,,
373,16,كفن,قميص,اثواب,عمامة,1,5,,5.0,,,,
232,27,كنتن,تردن,منكن,امتعكن,1,14,,14.0,,,,
330,19,كنيسة,وكنيسة,وبناحية,كناءس,1,6,,,,6.0,,
350,17,كهلان,ساكني,حمير,يلحون,2,6,3.0,3.0,,,,
85,81,كيغلغ,تكين,طغج,الفسطاط,4,47,26.0,,3.0,16.0,2.0,
542,10,لءلءة,خمرا,لاسراعي,ممشوقة,1,8,8.0,,,,,
26,202,لابن,شرح,لاسامة,لابي,1,20,20.0,,,,,
374,16,لاتوها,لاعطوها,ربكما,فباي,2,10,,9.0,,1.0,,
245,27,لدين,وثلاثماءة,المعز,وام,4,24,12.0,,6.0,5.0,1.0,
530,10,للافتاء,علوم,والتدريس,قضاء,2,10,7.0,,,,3.0,
494,11,للعمل,العمل,اقبغا,القلاع,2,6,,,,2.0,4.0,
545,10,لمراده,الدهر,اللمم,ومهد,2,4,3.0,1.0,,,,
513,10,لمطالبته,المغاني,النكبة,وصعدا,2,9,,,,2.0,7.0,
345,18,لهب,استضعفته,فلطمني,ونتحمل,1,15,,15.0,,,,
197,33,ليعودن,حثيا,يوشك,قال,2,27,,26.0,,1.0,,
214,29,مارية,وهبها,وواحدة,الدلدل,3,13,1.0,9.0,,3.0,,
123,58,مجيد,باركت,ال,صل,1,17,,17.0,,,,
108,65,محبة,العبد,تعالي,حمده,1,20,,20.0,,,,
181,37,محمد,المروزي,بن,سهل,1,4,,4.0,,,,
22,245,محمد,بن,يوسف,الحسن,1,71,71.0,,,,,
35,151,محمد,عبد,الرحمن,العزيز,1,32,32.0,,,,,
346,18,مخلوق,ام,فقلت,كمثله,1,11,11.0,,,,,
285,23,مدته,اشهر,فكانت,سنين,2,17,,,,10.0,7.0,
189,35,مدته,بعده,اشهر,فكانت,4,25,3.0,,1.0,13.0,8.0,
457,12,مدعم,مولدي,واختياره,المريسيع,1,10,,10.0,,,,
328,19,مروءة,ببلبان,بمكة,عفيفا,2,18,9.0,,,,9.0,
3,1224,مروان,الكوفة,معاوية,الزبير,5,417,295.0,38.0,7.0,86.0,,4.0
456,12,مسست,شممت,الين,اطيب,1,5,,5.0,,,,
343,18,مشافهة,الكتب,قماري,الاجتماع,2,11,5.0,,,,7.0,
538,10,مضاض,الالواح,عكاظ,معهم,2,5,2.0,3.0,,,,
249,26,معد,معز,والمرزبان,المعز,4,18,8.0,,4.0,4.0,2.0,
106,68,مقرر,الجهة,ومنها,يجبي,3,26,1.0,,,17.0,8.0,
112,64,مهملة,وسكون,المهملة,نسبة,1,51,51.0,,,,,
161,43,موسي,محمد,يوسف,الحسن,1,23,23.0,,,,,
146,49,ناءب,كختا,وناءب,ارزنكان,3,37,4.0,,,1.0,32.0,
475,12,ناءب,والامير,بعسكرها,حمص,2,9,3.0,,,,6.0,
312,21,ناطور,صانعا,يخدمني,لي,2,17,14.0,,,3.0,,
219,29,نافلة,الليل,فتهجد,قيام,2,13,,12.0,,1.0,,
495,11,نبابا,اخشابه,ورخامه,فروج,3,10,1.0,,,1.0,8.0,
234,27,نبيا,جبريل,عبدا,ملكا,1,18,,18.0,,,,
160,44,نحر,جزاءر,عوف,عشرا,1,30,,30.0,,,,
41,141,نسبته,لقبه,المترجم,الصفحة,1,83,83.0,,,,,
43,132,نسبهم,الشيعة,نسبه,شيعة,5,40,11.0,4.0,13.0,10.0,2.0,
29,186,نشر,بيروت,لابن,القاهرة,2,29,28.0,,,,,1.0
472,12,نصف,بكمالها,الصالحي,ثلث,1,3,,,,,3.0,
529,10,نظمها,الفراض,ونزهة,سماها,3,9,6.0,,,2.0,1.0,
449,13,نوبة,الناصري,راس,باي,1,13,,,,,13.0,
311,21,نور,ازماع,وتجمعها,شاور,4,11,2.0,,7.0,1.0,1.0,
281,23,نوغاي,مماليكه,هجموا,واعتورته,4,15,1.0,,3.0,3.0,9.0,
356,17,هءلاء,الوانهم,وانهار,هنية,1,6,,6.0,,,,
178,37,هارون,المءمنين,ولا,امير,2,7,5.0,,,2.0,,
50,125,هفتكين,القرمطي,القرامطة,قسام,4,78,36.0,,27.0,10.0,5.0,
333,19,هولاكو,غازان,البكي,فاكرمهم,3,13,4.0,,,1.0,8.0,
335,19,وابطل,فتعطل,فبطلت,البردار,5,16,2.0,,1.0,1.0,11.0,1.0
78,85,وابو,وابي,الحسن,احمد,2,58,57.0,,,1.0,,
376,16,وابو,وعبد,وجابر,واسمه,1,4,,4.0,,,,
61,103,وابي,وسمع,وقرا,الحسن,1,84,84.0,,,,,
467,12,واخبر,وانذر,وان,لحوقا,2,4,1.0,3.0,,,,
31,176,واخرج,ووجد,الف,قطعة,4,53,6.0,,15.0,23.0,9.0,
192,35,واستقر,عوضا,استقر,خلع,1,28,,,,,28.0,
27,196,واستقر,عوضا,استقر,نظر,3,149,4.0,,,4.0,141.0,
202,32,واستقر,عوضا,استقر,ولاية,1,30,,,,,30.0,
549,10,واستقر,عوضا,وخلع,عشرينه,1,10,,,,,10.0,
369,16,واستقر,وخلع,عوضا,نظر,2,16,1.0,,,,15.0,
91,76,واستقر,وخلع,عوضا,نوبة,2,51,,,,1.0,50.0,
149,48,واعظمهم,ولا,واصدقهم,بفظ,1,15,,15.0,,,,
540,10,واعقل,تعقل,الصفوة,وشدها,2,7,,6.0,,1.0,,
270,24,واعلموا,فءة,منا,وزعمت,4,16,5.0,4.0,1.0,6.0,,
501,11,واكل,ياكل,خبز,والتمر,1,5,,5.0,,,,
508,10,والارامل,ويكرم,ويلازم,ويشفق,3,8,4.0,,,3.0,1.0,
455,12,والخالص,الارتفاع,الكلف,درهم,1,2,,,,2.0,,
408,14,والساعة,نصف,كهاتين,السلام,1,2,,,,2.0,,
280,23,واللغة,وشرط,النحو,وعلم,1,22,22.0,,,,,
243,27,والله,ارشوه,الزبير,منك,3,18,12.0,5.0,,1.0,,
293,22,والله,خبيب,اهلكم,لقد,2,20,3.0,17.0,,,,
296,22,والمكين,وفيه,واخوه,وفيها,1,20,,,,,20.0,
521,10,واين,ونبينا,حيوانا,لسليمان,1,5,,5.0,,,,
287,22,وترعة,وبعض,توت,تفتح,1,3,,,,3.0,,
76,87,وتوفي,الاديب,بدمشق,هبة,1,45,,,,,45.0,
37,148,وجهان,الرافعي,الماوردي,يحرم,1,54,,54.0,,,,
262,24,وحدث,المشهدي,واربعماءة,توفي,1,23,23.0,,,,,
266,24,وحفظت,الفقراء,الادبية,التعصب,3,20,13.0,,,3.0,4.0,
327,19,وحلف,الراجل,غرماءنا,فتحير,4,12,2.0,,7.0,1.0,2.0,
96,74,وخراب,واخبر,مصرا,الامم,3,26,1.0,12.0,,13.0,,
250,26,وخطب,قافلة,عيد,والصلات,2,16,1.0,,15.0,,,
551,10,ودرس,وقرا,الهندي,الايكي,3,10,7.0,,,2.0,1.0,
429,13,وذكره,الطعام,البخاري,كتاب,1,10,,10.0,,,,
100,72,ورسوله,الذين,والذين,تعالي,2,40,1.0,39.0,,,,
421,14,وزعموا,قتله,الدثنة,وعليكما,2,11,3.0,8.0,,,,
329,19,وستماءة,الفاسي,وحدث,ولد,1,19,19.0,,,,,
277,23,وستماءة,مولده,والعشرين,وحدث,1,23,23.0,,,,,
14,379,وستماءة,ولد,وحدث,وسمع,3,266,263.0,,1.0,,2.0,
104,69,وسمع,توفي,وحدث,وستماءة,1,61,61.0,,,,,
496,11,وسمع,طاهراحمد,سمع,الخطيب,1,9,9.0,,,,,
326,19,وسمع,وحدث,وابي,الدمياطي,3,19,17.0,,,1.0,1.0,
205,31,وسمع,وغيره,وابا,وحدث,1,31,31.0,,,,,
142,50,وسيعلم,ينقلبون,منقلب,فءة,5,16,5.0,,4.0,1.0,5.0,1.0
191,35,وصرف,القضاء,كدينة,صرف,2,14,7.0,,7.0,,,
186,36,وعبد,ونافع,وسعيد,مدنيون,3,24,15.0,8.0,,1.0,,
297,22,وعشرون,فرسا,حرير,ووجد,4,18,4.0,,4.0,3.0,7.0,
507,10,وعقد,بالبطاح,طليحة,وامره,1,4,,4.0,,,,
451,13,وعلامتها,تولد,وفكرة,للبعض,3,10,5.0,,,2.0,3.0,
30,179,وعمل,صورة,وجعل,نحاس,4,62,2.0,,1.0,58.0,,2.0
483,12,وعهده,اعضل,والدبابات,لبيبا,1,9,,9.0,,,,
490,11,وعوف,وضربها,المنصوبة,استوسق,2,6,5.0,,,1.0,,
525,10,وفي,استقر,وعزل,عشرينه,1,10,,,,,10.0,
387,15,وفيه,واستقر,البريد,اسنبغا,2,15,1.0,,,,14.0,
86,79,وفيه,وفي,واستقر,خلع,4,70,2.0,,1.0,1.0,66.0,
256,25,وقاضي,وناظر,الدين,القضاة,1,12,,,,,12.0,
175,38,وقرا,قرا,التابعون,القراءات,1,9,,9.0,,,,
75,87,وقرا,وسمع,القراءات,وستماءة,3,69,67.0,,,1.0,2.0,
117,61,وقيل,بنات,فاطمة,زينب,4,34,2.0,30.0,1.0,1.0,,
385,15,وكتاب,جزءان,عوالي,اطراف,1,3,3.0,,,,,
139,52,وكتاب,مجلدات,شرح,كتاب,1,24,24.0,,,,,
445,13,وكورة,قرية,كورة,المني,1,3,,,,3.0,,
134,53,وماءتين,ثقة,الدارقطني,وقال,2,49,48.0,,,1.0,,
543,10,ومات,الاندرشي,جكو,مذبوحا,1,10,,,,,10.0,
379,16,ومات,القان,المظفر,رخ,3,10,1.0,,,1.0,8.0,
552,10,ومات,عشرين,شعبان,احميم,2,9,1.0,,,,8.0,
370,16,ومات,فارغة,ربيع,داءه,3,14,,,1.0,1.0,12.0,
527,10,ومات,مقتولا,الفلكيات,شجاعا,1,8,,,,,8.0,
126,57,ومات,وتوفي,الالوف,الامير,2,46,,,,1.0,45.0,
16,355,ومات,وتوفي,الدين,الشيخ,3,187,4.0,,,4.0,179.0,
420,14,ومات,ومولده,حظ,فخر,2,13,1.0,,,,12.0,
505,11,ومتاع,جيش,وصية,ابيكما,4,6,2.0,,2.0,1.0,1.0,
331,19,ومسح,ودعا,يشب,يده,1,4,,4.0,,,,
120,60,ومنبري,الجنة,مكة,افضل,3,29,1.0,27.0,1.0,,,
57,109,ومنع,قشر,الفقاع,سجل,4,50,3.0,,15.0,23.0,9.0,
114,64,وناءب,وامير,والدوادار,وقاضي,2,29,,,,1.0,28.0,
74,88,وولي,اناف,السبعين,قضاء,4,75,44.0,,2.0,7.0,22.0,
271,24,ويزرع,ويدرك,الفدان,برموده,1,6,,,,6.0,,
182,37,ويقرا,اوراده,يشرب,قط,4,20,12.0,,1.0,6.0,1.0,
12,507,يا,امتي,هل,اني,3,71,2.0,68.0,,1.0,,
517,10,ياكل,خبزهم,طاويا,الشعير,1,10,,10.0,,,,
407,14,يجعلوا,ارجلكم,فامروا,تاتيهم,3,7,1.0,1.0,,5.0,,
363,17,يحيي,الشلوبين,الصواف,محمد,1,6,6.0,,,,,
229,28,يحيي,يونس,بكير,الايلي,1,3,,3.0,,,,
171,40,يركب,يقضيه,وكان,لبكتمر,5,27,13.0,1.0,3.0,5.0,5.0,
47,126,يزيد,القيروان,المنصور,المهدية,4,48,31.0,,13.0,1.0,3.0,
111,64,يستسقي,طريق,حدثنا,قال,3,52,5.0,44.0,,3.0,,
359,17,يسجد,تسجد,لامرت,لزوجها,1,8,,8.0,,,,
177,37,يشتمل,العلوم,اخبار,الكتاب,5,13,2.0,1.0,2.0,8.0,1.0,
79,84,يصبغ,يخضب,لحيته,حديث,1,36,,36.0,,,,
133,53,يطلع,الفجر,عشريه,وفيه,1,8,,,,8.0,,
319,20,يعادي,مخزوم,استعمله,خءولة,1,19,,19.0,,,,
25,214,يوما,السنة,ثلثماءة,الف,2,58,,1.0,,57.0,,
